date,product,region,units_sold,revenue,cost
2024-11-23,Phone,North,48,31794.34,19403.03
2025-01-12,Phone,Central,6,4438.02,2479.0
2024-02-17,Headphones,South,33,4200.4,2946.73
2025-01-01,Mouse,South,29,1225.24,941.65
2024-01-04,Tablet,West,22,9377.82,5702.98
2025-01-25,Keyboard,North,6,412.85,267.08
2024-06-25,Monitor,North,47,14252.26,8319.09
2025-04-17,Mouse,North,36,1371.76,987.3
2025-03-29,Keyboard,Central,13,997.91,561.2
2024-04-26,Monitor,North,55,15369.37,8872.28
2024-05-22,Smartwatch,East,11,2693.8,1633.97
2024-05-16,Phone,Central,41,26114.09,19503.68
2024-03-24,Smartwatch,West,18,5383.5,3891.19
2024-10-12,Headphones,East,54,7250.54,4097.3
2025-02-24,Laptop,East,26,22082.8,13403.49
2025-04-27,Keyboard,South,42,3012.71,2376.62
2024-11-25,Smartwatch,South,17,3820.2,2869.53
2024-10-02,Monitor,Central,28,9779.6,6433.39
2024-04-22,Tablet,Central,32,12698.18,7145.54
2024-02-26,Tablet,South,51,24973.47,17756.9
2024-07-16,Mouse,Central,30,1242.23,1008.93
2025-03-16,Laptop,North,44,45923.17,34568.07
2025-01-28,Keyboard,North,19,1332.88,896.37
2025-05-03,Monitor,Central,49,13414.16,10683.16
2025-03-21,Monitor,Central,39,10759.54,7004.0
2024-03-23,Laptop,Central,21,19297.13,11196.28
2024-07-04,Monitor,South,4,1121.17,788.39
2024-02-10,Phone,West,53,32433.72,24499.22
2025-01-27,Tablet,South,43,19666.35,13735.9
2024-05-15,Mouse,South,60,2493.01,1862.48
2024-04-12,Monitor,West,43,13899.2,9288.65
2024-09-21,Smartwatch,North,16,3714.58,2382.1
2024-10-28,Headphones,Central,15,1534.53,1137.27
2024-01-31,Headphones,North,58,5992.52,3830.51
2024-09-20,Headphones,East,43,5262.66,3660.67
2025-01-05,Smartwatch,South,51,12948.14,8544.56
2024-02-18,Phone,West,23,16071.87,10866.14
2025-01-08,Laptop,North,4,3567.3,2288.82
2025-03-17,Phone,South,13,8340.82,5597.74
2024-08-04,Tablet,East,30,12655.34,10115.18
2024-08-14,Phone,North,42,35272.62,27361.94
2025-05-11,Phone,South,11,7640.29,5195.14
2025-03-18,Mouse,North,11,432.36,352.82
2024-05-15,Smartwatch,East,28,7656.65,5721.33
2025-02-05,Smartwatch,South,13,3100.01,2515.82
2024-10-23,Laptop,East,4,3123.18,2119.81
2025-04-15,Tablet,North,33,13038.88,7825.58
2024-10-31,Phone,South,26,16233.68,12830.74
2024-05-06,Laptop,Central,6,5382.34,3808.5
2024-09-24,Keyboard,East,14,1062.72,674.65
2024-05-15,Mouse,South,43,1850.59,1246.28
2025-04-20,Phone,North,30,22415.52,15735.88
2024-02-21,Phone,Central,14,10065.18,5895.81
2024-06-27,Phone,South,24,15955.73,10663.37
2024-10-05,Monitor,Central,52,16830.71,9292.44
2025-02-22,Monitor,North,57,15338.73,8914.34
2024-02-24,Tablet,East,19,9077.45,6751.4
2024-04-14,Monitor,Central,32,9003.77,7159.82
2024-01-27,Phone,West,54,35790.48,19719.03
2025-01-29,Tablet,East,11,5491.68,3838.43
2024-08-06,Laptop,North,5,5313.46,3913.76
2024-03-17,Laptop,East,38,35683.73,23766.88
2024-01-22,Monitor,East,58,20472.51,16633.77
2024-01-21,Keyboard,South,44,2886.99,1667.97
2025-02-03,Mouse,Central,48,1735.86,1390.54
2025-03-18,Tablet,South,57,25503.87,15262.21
2025-04-18,Keyboard,West,52,3947.46,2954.54
2024-05-07,Monitor,South,51,16760.34,10949.3
2024-01-20,Smartwatch,South,13,3691.37,2489.02
2024-06-05,Headphones,South,2,259.44,170.6
2024-05-22,Phone,East,23,17299.75,11381.73
2025-03-07,Keyboard,North,8,647.9,402.04
2024-10-24,Monitor,North,7,2223.48,1430.44
2025-02-06,Keyboard,West,39,3260.94,1895.34
2025-04-05,Headphones,East,3,395.31,217.6
2025-04-18,Headphones,East,28,2938.29,2143.02
2024-06-18,Keyboard,North,47,3832.9,2632.91
2024-12-07,Mouse,East,26,1137.78,796.09
2024-04-08,Mouse,West,44,1956.85,1168.21
2024-10-18,Monitor,West,36,12331.48,7794.07
2024-04-17,Mouse,Central,39,1683.47,1137.26
2024-08-14,Headphones,Central,31,4195.44,3394.76
2025-01-11,Tablet,North,19,8809.99,6351.07
2024-06-20,Phone,South,44,29526.32,22669.48
2024-03-16,Laptop,North,16,17199.04,12298.07
2025-01-28,Phone,West,27,21926.8,15467.85
2025-01-02,Mouse,West,26,972.81,707.36
2024-01-03,Phone,West,15,9571.38,7739.9
2024-09-22,Smartwatch,North,36,8434.97,6571.27
2024-08-21,Tablet,West,43,20044.59,14049.45
2024-06-11,Smartwatch,Central,53,14598.13,10018.55
2025-03-01,Smartwatch,South,48,13818.28,9279.24
2025-01-19,Headphones,East,50,6733.12,4584.19
2024-05-02,Monitor,West,5,1649.61,1011.73
2024-06-20,Keyboard,Central,6,377.34,231.1
2024-12-21,Tablet,South,5,2239.21,1431.61
2024-08-26,Mouse,North,14,639.25,418.81
2025-01-29,Laptop,Central,25,22881.22,18408.86
2024-06-01,Mouse,West,35,1556.28,1085.44
2024-11-04,Headphones,West,15,1701.95,1159.24
